sku,name,categories,price,product_type,errors
22B2HM,"AOC 21.5â€³ Flicker Free Ultra Slim Monitor","PC COMPONENTS / GAMING MONITORS",38,,"Product Type is invalid or not supported"
24B1H,"AOC 24B1H 24 Inch FHD 60Hz LCD Gaming Monitor","PC COMPONENTS / GAMING MONITORS",45,,"Product Type is invalid or not supported"
CQ27G3Z/89,"AOC 27 Inch QHD-240Hz,1ms-VA-Curved","PC COMPONENTS / GAMING MONITORS",139,,"Product Type is invalid or not supported"
27V2Q/89,"AOC 27V2Q 27 Inch FHD 75Hz Gaming Monitor","PC COMPONENTS / GAMING MONITORS",65,,"Product Type is invalid or not supported"
AG324UX,"AOC AG324UX 31.5 Inch-IPS,4K,UHD-144Hz-1ms-HDMI 2.1","PC COMPONENTS / GAMING MONITORS",349,,"Product Type is invalid or not supported"
PD27/89,"AOC Agon PD27 Porsche Design 27 Inch QHD 240Hz,VA,0.5ms, Curved Gaming Monitor","PC COMPONENTS / GAMING MONITORS",199,,"Product Type is invalid or not supported"
C24G2,"AOC C24G2 24 inch FHD 165Hz,VA Curved Gaming Monitor","PC COMPONENTS / GAMING MONITORS",69.75,,"Product Type is invalid or not supported"
CQ27G3S/89,"AOC CQ27G3S 27 Inch 165Hz,VA,HDMI 2.0 QHD Curved Gaming Monitor","PC COMPONENTS / GAMING MONITORS",99,,"Product Type is invalid or not supported"
CQ32G3SE/89,"AOC CQ32G3SE 32 Inch QHD HDMI 2.0 165Hz Curved 2K Gaming Monitor","PC COMPONENTS / GAMING MONITORS",109,,"Product Type is invalid or not supported"
GH210,"AOC GH210 Gaming Headset","ACCESSORIES / GAMING HEADSET",14,,"Product Type is invalid or not supported"
GM500,"AOC GM500 Gaming Mouse","PC COMPONENTS / MOUSE",9,,"Product Type is invalid or not supported"
U28G2X/D/89,"AOC U28G2X 28 Inch 144Hz 4K HDMI 2.1","PC COMPONENTS / GAMING MONITORS",219,,"Product Type is invalid or not supported"
04-02-0063,"ASROCK B550M PRO4 Gaming AM4 Motherboard - Black","PC COMPONENTS / MOTHERBOARD",49.9,,"Product Type is invalid or not supported"
04-03-0086,"ASRock AMD Radeon - RX 6600 XT Challenger D 8GB OC - Graphics Card","PC COMPONENTS / GRAPHICS CARD",129.9,,"Product Type is invalid or not supported"
04-03-0023,"ASRock AMD Radeon RX 6800 XT TCX 16GO Graphics Card","PC COMPONENTS / GRAPHICS CARD",279.9,,"Product Type is invalid or not supported"
04-02-0058,"ASRock B550 PG Riptide Motherboard ","PC COMPONENTS / MOTHERBOARD",29.9,,"Product Type is invalid or not supported"
04-02-0055,"ASRock B550 Phantom Gaming 4 AMD Motherboard","PC COMPONENTS / MOTHERBOARD",39.9,,"Product Type is invalid or not supported"
04-02-0036,"ASRock B550 Taichi Razer Edition Motherboard","PC COMPONENTS / MOTHERBOARD",69.9,,"Product Type is invalid or not supported"
04-02-0026,"ASRock B560 Steel Legend Motherboard","PC COMPONENTS / MOTHERBOARD",49.9,,"Product Type is invalid or not supported"
04-02-0229,"ASRock B560M-HDV Intel Socket 1200 Motherboard","PC COMPONENTS / MOTHERBOARD",27.5,,"Product Type is invalid or not supported"
04-02-0233,"ASRock B650E PG Riptide WiFi - ATX AM5 Motherboard","PC COMPONENTS / MOTHERBOARD",79.9,,"Product Type is invalid or not supported"
04-02-0230,"ASRock B650M PG Riptide WiFi - AMD Ryzen 7000 Series Processors - Motherboard","PC COMPONENTS / MOTHERBOARD",59.9,,"Product Type is invalid or not supported"
04-02-0166,"ASRock B660M Pro RS/ax Intel LGA1700 Motherboard","PC COMPONENTS / MOTHERBOARD",44.9,,"Product Type is invalid or not supported"
04-02-0227,"ASRock B760M PG Sonic WiFi - LGA 1700 - DDR5 Micro ATX Motherboard","PC COMPONENTS / MOTHERBOARD",69.9,,"Product Type is invalid or not supported"
04-02-0228,"ASRock B760M Pro RS/D4 WiFi - Micro ATX LGA1700 Motherboard","PC COMPONENTS / MOTHERBOARD",53.5,,"Product Type is invalid or not supported"
04-02-0234,"ASRock B760M Steel Legend WiFi - LGA 1700 DDR5 Micro ATX - Motherboard","PC COMPONENTS / MOTHERBOARD",65,,"Product Type is invalid or not supported"
06-01-0223,"ASRock Intel B660M Pro RS - Gaming Motherboard - Black","PC COMPONENTS / MOTHERBOARD",44.9,,"Product Type is invalid or not supported"
06-01-0221,"ASRock Intel Z690 PG Velocita - Gaming Motherboard - Black","PC COMPONENTS / MOTHERBOARD",139.9,,"Product Type is invalid or not supported"
06-01-0222,"ASRock Intel Z690 Phantom - Gaming Motherboard 4/D5 - Black","PC COMPONENTS / MOTHERBOARD",69.9,,"Product Type is invalid or not supported"
04-02-0032,"ASRock X570 Phantom Gaming 4 Motherboard","PC COMPONENTS / MOTHERBOARD",49.9,,"Product Type is invalid or not supported"
04-02-0033,"ASRock X570 Steel Legend Motherboard","PC COMPONENTS / MOTHERBOARD",59.9,,"Product Type is invalid or not supported"
